venue_id,venue_name,city,country,research_priority,candidate_source,item_name,item_priority,kind,confidence,catalog_id,why_for_visitor,notes
ueno-zoo,Ueno Zoo,Tokyo,Japan,1,researched,Red panda,1,animal,verified,red-panda,Still a panda-family highlight without giant pandas,
ueno-zoo,Ueno Zoo,Tokyo,Japan,1,researched,Tiger,1,animal,high,sumatran-tiger,Major carnivore draw,
ueno-zoo,Ueno Zoo,Tokyo,Japan,1,researched,Asian elephant (confirm),2,animal,medium,,,Ueno historically Asian elephants — not African; verify live
ueno-zoo,Ueno Zoo,Tokyo,Japan,1,researched,Children's Zoo / farm,2,zone,high,,Younger kids,
ueno-zoo,Ueno Zoo,Tokyo,Japan,1,researched,Giraffe,2,animal,high,reticulated-giraffe,,
ueno-zoo,Ueno Zoo,Tokyo,Japan,1,researched,Small Mammal House,2,zone,high,,Strong architecture + unusual small mammals,
ueno-zoo,Ueno Zoo,Tokyo,Japan,1,researched,Five-storied pagoda views / Vivarium area,3,zone,medium,,,
ueno-zoo,Ueno Zoo,Tokyo,Japan,1,researched,Flamingo,3,animal,medium,caribbean-flamingo,,American flamingo noted in zoo news
ueno-zoo,Ueno Zoo,Tokyo,Japan,1,researched,Otter,3,animal,medium,asian-small-clawed-otter,,
ueno-zoo,Ueno Zoo,Tokyo,Japan,1,researched,Giant panda,5,animal,verified,,Was the #1 tourist reason; now gone,ABSENT as of Jan 2026 — do not promise
singapore-night-safari,Night Safari,Singapore,Singapore,1,researched,Asian elephant (night viewing),1,animal,high,,,
singapore-night-safari,Night Safari,Singapore,Singapore,1,researched,Safari Adventure Tram,1,experience,verified,,Core format,
singapore-night-safari,Night Safari,Singapore,Singapore,1,researched,Walking trails (Pangolin etc.),1,experience,verified,,,
singapore-night-safari,Night Safari,Singapore,Singapore,1,researched,Asian small-clawed otter,2,animal,high,asian-small-clawed-otter,,
singapore-night-safari,Night Safari,Singapore,Singapore,1,researched,Fishing cat / leopard cat trail animals,2,animal,high,,,
singapore-night-safari,Night Safari,Singapore,Singapore,1,researched,Lion (night habitat),2,animal,medium,african-lion,,
singapore-night-safari,Night Safari,Singapore,Singapore,1,researched,Slow loris,2,animal,high,,,
singapore-night-safari,Night Safari,Singapore,Singapore,1,researched,Sunda pangolin (trail),2,animal,verified,,,Highlighted on official trails
singapore-night-safari,Night Safari,Singapore,Singapore,1,researched,Tasmanian devil trail,3,animal,verified,,,
singapore-zoo,Singapore Zoo,Singapore,Singapore,1,researched,Elephants of Asia,1,zone,verified,,Named zone,
singapore-zoo,Singapore Zoo,Singapore,Singapore,1,researched,Giraffe (feeding if offered),1,animal,verified,reticulated-giraffe,,
singapore-zoo,Singapore Zoo,Singapore,Singapore,1,researched,Orangutan (free-ranging / Island),1,animal,verified,,#1 reason to visit,No catalog_id yet — highest Singapore priority; consider adding catalog animal
singapore-zoo,Singapore Zoo,Singapore,Singapore,1,researched,Fragile Forest / free-flight,2,zone,high,,,
singapore-zoo,Singapore Zoo,Singapore,Singapore,1,researched,Great Rift Valley of Ethiopia,2,zone,verified,,,
singapore-zoo,Singapore Zoo,Singapore,Singapore,1,researched,KidzWorld,2,zone,high,,Young kids reset,
singapore-zoo,Singapore Zoo,Singapore,Singapore,1,researched,Primate Kingdom,2,zone,high,,,
singapore-zoo,Singapore Zoo,Singapore,Singapore,1,researched,Tiger (Malayan/Sumatran),2,animal,high,sumatran-tiger,,
singapore-zoo,Singapore Zoo,Singapore,Singapore,1,researched,African lion,3,animal,medium,african-lion,,
singapore-zoo,Singapore Zoo,Singapore,Singapore,1,researched,Otter,3,animal,high,asian-small-clawed-otter,,
singapore-zoo,Singapore Zoo,Singapore,Singapore,1,researched,Reptile Kingdom / Komodo if shown,3,animal,medium,,,
singapore-zoo,Singapore Zoo,Singapore,Singapore,1,researched,White tiger / big cats (confirm current),3,animal,medium,,,
edinburgh-zoo,Edinburgh Zoo,Edinburgh,United Kingdom,1,researched,Chimpanzee (Budongo Trail),1,animal,verified,chimpanzee,,
edinburgh-zoo,Edinburgh Zoo,Edinburgh,United Kingdom,1,researched,Giraffe,1,animal,high,reticulated-giraffe,,
edinburgh-zoo,Edinburgh Zoo,Edinburgh,United Kingdom,1,researched,Penguin (Penguin Rock),1,animal,verified,african-penguin,,Species may be king/gentoo/others — use penguin find
edinburgh-zoo,Edinburgh Zoo,Edinburgh,United Kingdom,1,researched,Koala (if still present),2,animal,medium,,,Historically marketed; verify
edinburgh-zoo,Edinburgh Zoo,Edinburgh,United Kingdom,1,researched,Tiger / lion,2,animal,high,sumatran-tiger,,
edinburgh-zoo,Edinburgh Zoo,Edinburgh,United Kingdom,1,researched,Red panda,3,animal,high,red-panda,,
edinburgh-zoo,Edinburgh Zoo,Edinburgh,United Kingdom,1,researched,Sun bear,3,animal,medium,,,
edinburgh-zoo,Edinburgh Zoo,Edinburgh,United Kingdom,1,researched,Hilltop views / weavers,4,experience,medium,,,
london-zoo,London Zoo,London,United Kingdom,1,researched,Asiatic lion,1,animal,verified,,,Stocktake 2026
london-zoo,London Zoo,London,United Kingdom,1,researched,Gorilla (Gorilla Kingdom),1,animal,verified,western-lowland-gorilla,Flagship exhibit,
london-zoo,London Zoo,London,United Kingdom,1,researched,Humboldt penguin,1,animal,verified,,"Active, kid-friendly",Stocktake 2026 highlights large colony
london-zoo,London Zoo,London,United Kingdom,1,researched,Tiger,1,animal,high,sumatran-tiger,,
london-zoo,London Zoo,London,United Kingdom,1,researched,Children's play / under-5s areas,2,zone,medium,,,
london-zoo,London Zoo,London,United Kingdom,1,researched,Land of the Lions,2,zone,high,,,
london-zoo,London Zoo,London,United Kingdom,1,researched,Madagascar zone / lemurs,2,zone,high,ring-tailed-lemur,,
london-zoo,London Zoo,London,United Kingdom,1,researched,Tiger / lion themed zones,2,zone,high,,,
london-zoo,London Zoo,London,United Kingdom,1,researched,Two-toed sloth,2,animal,high,two-toed-sloth,Rainforest / visitor favorite,
london-zoo,London Zoo,London,United Kingdom,1,researched,Capybara,3,animal,verified,,,Mentioned in 2026 stocktake
london-zoo,London Zoo,London,United Kingdom,1,researched,Galápagos tortoise,3,animal,high,galapagos-tortoise,,
london-zoo,London Zoo,London,United Kingdom,1,researched,In with the Lemurs / Monkey Valley,3,zone,medium,,,
nhm-london,Natural History Museum,London,United Kingdom,1,researched,Dinosaur gallery / T. rex,1,exhibit,verified,sci-dinosaur,,
nhm-london,Natural History Museum,London,United Kingdom,1,researched,Hintze Hall / whale / main hall icon,1,exhibit,high,,,
nhm-london,Natural History Museum,London,United Kingdom,1,researched,Earth / volcano / earthquake zone,2,exhibit,high,,,
nhm-london,Natural History Museum,London,United Kingdom,1,researched,Human evolution / Curious Creatures style hands-on,2,exhibit,medium,sci-hands-on,,
nhm-london,Natural History Museum,London,United Kingdom,1,researched,Mammals / blue whale model history,2,exhibit,high,sci-mammal-hall,,
nhm-london,Natural History Museum,London,United Kingdom,1,researched,Investigate Centre / family activities if open,3,experience,medium,,,
nhm-london,Natural History Museum,London,United Kingdom,1,researched,Minerals / gemstones,3,exhibit,high,,,
nhm-london,Natural History Museum,London,United Kingdom,1,researched,Wildlife Garden (seasonal outdoor),3,zone,medium,,,
dallas-zoo,Dallas Zoo,Dallas,United States,1,researched,African elephant,1,animal,verified,african-elephant,Savanna icon; calf news/adopt messaging active,
dallas-zoo,Dallas Zoo,Dallas,United States,1,researched,Children's Zoo (Lacerte),1,zone,verified,,Toddler reset; Birds Landing nearby,
dallas-zoo,Dallas Zoo,Dallas,United States,1,researched,Giraffe (Giraffe Ridge feeding),1,animal,verified,reticulated-giraffe,Signature Dallas feeding platform — venue-true,
dallas-zoo,Dallas Zoo,Dallas,United States,1,researched,Lion,1,animal,high,african-lion,Savanna highlight,
dallas-zoo,Dallas Zoo,Dallas,United States,1,researched,Gorilla Trail,2,animal,high,western-lowland-gorilla,Named trail; good pacing,
dallas-zoo,Dallas Zoo,Dallas,United States,1,researched,Monorail / Adventure Safari,2,experience,high,,Overview of Africa habitats; ticketed,
dallas-zoo,Dallas Zoo,Dallas,United States,1,researched,Penguin,2,animal,high,african-penguin,,
dallas-zoo,Dallas Zoo,Dallas,United States,1,researched,Tiger habitat,2,animal,high,sumatran-tiger,,
dallas-zoo,Dallas Zoo,Dallas,United States,1,researched,Hippo,3,animal,medium,nile-hippo,,
dallas-zoo,Dallas Zoo,Dallas,United States,1,researched,Koala Walkabout,3,animal,high,,,Newer feature per parks materials
dallas-zoo,Dallas Zoo,Dallas,United States,1,researched,Flamingo,4,animal,medium,caribbean-flamingo,,
beijing-zoo,Beijing Zoo,Beijing,China,2,researched,Giant panda,1,animal,high,giant-panda,Primary tourist draw,
beijing-zoo,Beijing Zoo,Beijing,China,2,researched,Elephant,2,animal,medium,african-elephant,,Confirm Asian vs African
beijing-zoo,Beijing Zoo,Beijing,China,2,researched,Golden monkey / rare China species,2,animal,medium,,,
beijing-zoo,Beijing Zoo,Beijing,China,2,researched,Tiger,2,animal,medium,sumatran-tiger,,
beijing-zoo,Beijing Zoo,Beijing,China,2,researched,Aquarium / undersea if co-located visit,3,zone,medium,,,
beijing-zoo,Beijing Zoo,Beijing,China,2,researched,Giraffe,3,animal,medium,reticulated-giraffe,,
thinkery,Thinkery,Austin,United States,2,researched,Current featured zones from catalog pack,1,zone,high,,,Prefer live pack zone IDs over generic
childrens-museum-perot,Children's Museum (Perot),Dallas,United States,2,researched,Imaginarium,1,zone,high,cm-imaginarium,,
childrens-museum-perot,Children's Museum (Perot),Dallas,United States,2,researched,Toddler Garden,1,zone,high,cm-toddler-garden,,
childrens-museum-perot,Children's Museum (Perot),Dallas,United States,2,researched,Water / waterfall play,1,zone,high,cm-waterfall,,
childrens-museum-perot,Children's Museum (Perot),Dallas,United States,2,researched,Woven Wonders,1,zone,high,cm-woven,,
childrens-museum-perot,Children's Museum (Perot),Dallas,United States,2,researched,Makery,2,zone,high,cm-makery,,
childrens-museum-perot,Children's Museum (Perot),Dallas,United States,2,researched,Outdoor,2,zone,high,cm-outdoor,,
childrens-museum-perot,Children's Museum (Perot),Dallas,United States,2,researched,Art lab,3,zone,high,cm-art-lab,,
montreal-biodome,Montreal Biodome,Montreal,Canada,8,researched,Laurentian maple forest,1,zone,verified,,,
montreal-biodome,Montreal Biodome,Montreal,Canada,8,researched,Subantarctic / penguin zone,1,zone,verified,african-penguin,,Penguin species may be different — use generic penguin find
montreal-biodome,Montreal Biodome,Montreal,Canada,8,researched,Tropical rainforest ecosystem,1,zone,verified,sci-rainforest,,
montreal-biodome,Montreal Biodome,Montreal,Canada,8,researched,Gulf of St. Lawrence / marine,2,zone,verified,sci-aquarium-zone,,
montreal-biodome,Montreal Biodome,Montreal,Canada,8,researched,Labrador Coast / subpolar contrast,2,zone,high,,,
montreal-biodome,Montreal Biodome,Montreal,Canada,8,researched,Hands-on / Naturalia learning spaces,3,exhibit,medium,sci-hands-on,,
shedd-aquarium,Shedd Aquarium,Chicago,United States,1,template:generic_aquarium,Ray / touch pool if open,1,animal,template,stingray,Interactive,
shedd-aquarium,Shedd Aquarium,Chicago,United States,1,template:generic_aquarium,Shark,1,animal,template,shark,Hero tank,
shedd-aquarium,Shedd Aquarium,Chicago,United States,1,template:generic_aquarium,Tunnel / underwater walk,1,experience,template,,Signature aquarium moment,
shedd-aquarium,Shedd Aquarium,Chicago,United States,1,template:generic_aquarium,Jellyfish,2,animal,template,jellyfish,Mesmerizing for toddlers,
shedd-aquarium,Shedd Aquarium,Chicago,United States,1,template:generic_aquarium,Octopus,2,animal,template,octopus,Hide-and-seek fun,
shedd-aquarium,Shedd Aquarium,Chicago,United States,1,template:generic_aquarium,Penguin (if present),2,animal,template,african-penguin,Many aquariums have them,
shedd-aquarium,Shedd Aquarium,Chicago,United States,1,template:generic_aquarium,Sea turtle,2,animal,template,sea-turtle,Easy ID,
shedd-aquarium,Shedd Aquarium,Chicago,United States,1,template:generic_aquarium,Clownfish / reef,3,animal,template,clownfish,Color pop,
shedd-aquarium,Shedd Aquarium,Chicago,United States,1,template:generic_aquarium,Seahorse,3,animal,template,seahorse,Small find challenge,
monterey-bay-aquarium,Monterey Bay Aquarium,Monterey,United States,1,template:generic_aquarium,Ray / touch pool if open,1,animal,template,stingray,Interactive,
monterey-bay-aquarium,Monterey Bay Aquarium,Monterey,United States,1,template:generic_aquarium,Shark,1,animal,template,shark,Hero tank,
monterey-bay-aquarium,Monterey Bay Aquarium,Monterey,United States,1,template:generic_aquarium,Tunnel / underwater walk,1,experience,template,,Signature aquarium moment,
monterey-bay-aquarium,Monterey Bay Aquarium,Monterey,United States,1,template:generic_aquarium,Jellyfish,2,animal,template,jellyfish,Mesmerizing for toddlers,
monterey-bay-aquarium,Monterey Bay Aquarium,Monterey,United States,1,template:generic_aquarium,Octopus,2,animal,template,octopus,Hide-and-seek fun,
monterey-bay-aquarium,Monterey Bay Aquarium,Monterey,United States,1,template:generic_aquarium,Penguin (if present),2,animal,template,african-penguin,Many aquariums have them,
monterey-bay-aquarium,Monterey Bay Aquarium,Monterey,United States,1,template:generic_aquarium,Sea turtle,2,animal,template,sea-turtle,Easy ID,
monterey-bay-aquarium,Monterey Bay Aquarium,Monterey,United States,1,template:generic_aquarium,Clownfish / reef,3,animal,template,clownfish,Color pop,
monterey-bay-aquarium,Monterey Bay Aquarium,Monterey,United States,1,template:generic_aquarium,Seahorse,3,animal,template,seahorse,Small find challenge,
amnh,American Museum of Natural History,New York,United States,1,template:generic_science,Dinosaur / fossil hall,1,exhibit,template,sci-dinosaur,,
amnh,American Museum of Natural History,New York,United States,1,template:generic_science,Hands-on lab / makerspace,1,exhibit,template,sci-hands-on,,
amnh,American Museum of Natural History,New York,United States,1,template:generic_science,Live animal / aquarium corner,2,exhibit,template,sci-aquarium-zone,,
amnh,American Museum of Natural History,New York,United States,1,template:generic_science,Outdoor play,2,zone,template,cm-outdoor,,
amnh,American Museum of Natural History,New York,United States,1,template:generic_science,Planet / space area,2,exhibit,template,sci-planet,,
amnh,American Museum of Natural History,New York,United States,1,template:generic_science,Toddler soft space,2,zone,template,cm-toddler-garden,,
bronx-zoo,Bronx Zoo,New York,United States,1,template:generic_zoo,Elephant,1,animal,template,african-elephant,"Large, memorable; confirm African vs Asian",
bronx-zoo,Bronx Zoo,New York,United States,1,template:generic_zoo,Giraffe,1,animal,template,reticulated-giraffe,"Tall, easy for kids to spot",
bronx-zoo,Bronx Zoo,New York,United States,1,template:generic_zoo,Lion,1,animal,template,african-lion,Iconic big cat; often near savanna,
bronx-zoo,Bronx Zoo,New York,United States,1,template:generic_zoo,Children's zoo / farm,2,zone,template,,Rest + little kids reset,
bronx-zoo,Bronx Zoo,New York,United States,1,template:generic_zoo,Gorilla or large ape,2,animal,template,western-lowland-gorilla,Primate house highlight,
bronx-zoo,Bronx Zoo,New York,United States,1,template:generic_zoo,Penguin,2,animal,template,african-penguin,"Active, kid magnet",
bronx-zoo,Bronx Zoo,New York,United States,1,template:generic_zoo,Tiger,2,animal,template,sumatran-tiger,Stripes; popular photo stop,
bronx-zoo,Bronx Zoo,New York,United States,1,template:generic_zoo,Otter,3,animal,template,asian-small-clawed-otter,Active water play,
bronx-zoo,Bronx Zoo,New York,United States,1,template:generic_zoo,Playground / splash if open,3,experience,template,,Energy burn between animals,
bronx-zoo,Bronx Zoo,New York,United States,1,template:generic_zoo,Red panda,3,animal,template,red-panda,Cute climber; not giant panda,
bronx-zoo,Bronx Zoo,New York,United States,1,template:generic_zoo,Zebra,3,animal,template,zebra,Pattern hunt,
bronx-zoo,Bronx Zoo,New York,United States,1,template:generic_zoo,Tortoise,4,animal,template,galapagos-tortoise,"Slow, close views",
san-diego-zoo,San Diego Zoo,San Diego,United States,1,template:generic_zoo,Elephant,1,animal,template,african-elephant,"Large, memorable; confirm African vs Asian",
san-diego-zoo,San Diego Zoo,San Diego,United States,1,template:generic_zoo,Giraffe,1,animal,template,reticulated-giraffe,"Tall, easy for kids to spot",
san-diego-zoo,San Diego Zoo,San Diego,United States,1,template:generic_zoo,Lion,1,animal,template,african-lion,Iconic big cat; often near savanna,
san-diego-zoo,San Diego Zoo,San Diego,United States,1,template:generic_zoo,Children's zoo / farm,2,zone,template,,Rest + little kids reset,
san-diego-zoo,San Diego Zoo,San Diego,United States,1,template:generic_zoo,Gorilla or large ape,2,animal,template,western-lowland-gorilla,Primate house highlight,
san-diego-zoo,San Diego Zoo,San Diego,United States,1,template:generic_zoo,Penguin,2,animal,template,african-penguin,"Active, kid magnet",
san-diego-zoo,San Diego Zoo,San Diego,United States,1,template:generic_zoo,Tiger,2,animal,template,sumatran-tiger,Stripes; popular photo stop,
san-diego-zoo,San Diego Zoo,San Diego,United States,1,template:generic_zoo,Otter,3,animal,template,asian-small-clawed-otter,Active water play,
san-diego-zoo,San Diego Zoo,San Diego,United States,1,template:generic_zoo,Playground / splash if open,3,experience,template,,Energy burn between animals,
san-diego-zoo,San Diego Zoo,San Diego,United States,1,template:generic_zoo,Red panda,3,animal,template,red-panda,Cute climber; not giant panda,
san-diego-zoo,San Diego Zoo,San Diego,United States,1,template:generic_zoo,Zebra,3,animal,template,zebra,Pattern hunt,
san-diego-zoo,San Diego Zoo,San Diego,United States,1,template:generic_zoo,Tortoise,4,animal,template,galapagos-tortoise,"Slow, close views",
melbourne-zoo,Melbourne Zoo,Melbourne,Australia,2,template:generic_zoo,Elephant,1,animal,template,african-elephant,"Large, memorable; confirm African vs Asian",
melbourne-zoo,Melbourne Zoo,Melbourne,Australia,2,template:generic_zoo,Giraffe,1,animal,template,reticulated-giraffe,"Tall, easy for kids to spot",
melbourne-zoo,Melbourne Zoo,Melbourne,Australia,2,template:generic_zoo,Lion,1,animal,template,african-lion,Iconic big cat; often near savanna,
melbourne-zoo,Melbourne Zoo,Melbourne,Australia,2,template:generic_zoo,Children's zoo / farm,2,zone,template,,Rest + little kids reset,
melbourne-zoo,Melbourne Zoo,Melbourne,Australia,2,template:generic_zoo,Gorilla or large ape,2,animal,template,western-lowland-gorilla,Primate house highlight,
melbourne-zoo,Melbourne Zoo,Melbourne,Australia,2,template:generic_zoo,Penguin,2,animal,template,african-penguin,"Active, kid magnet",
melbourne-zoo,Melbourne Zoo,Melbourne,Australia,2,template:generic_zoo,Tiger,2,animal,template,sumatran-tiger,Stripes; popular photo stop,
melbourne-zoo,Melbourne Zoo,Melbourne,Australia,2,template:generic_zoo,Otter,3,animal,template,asian-small-clawed-otter,Active water play,
melbourne-zoo,Melbourne Zoo,Melbourne,Australia,2,template:generic_zoo,Playground / splash if open,3,experience,template,,Energy burn between animals,
melbourne-zoo,Melbourne Zoo,Melbourne,Australia,2,template:generic_zoo,Red panda,3,animal,template,red-panda,Cute climber; not giant panda,
melbourne-zoo,Melbourne Zoo,Melbourne,Australia,2,template:generic_zoo,Zebra,3,animal,template,zebra,Pattern hunt,
melbourne-zoo,Melbourne Zoo,Melbourne,Australia,2,template:generic_zoo,Tortoise,4,animal,template,galapagos-tortoise,"Slow, close views",
toronto-zoo,Toronto Zoo,Toronto,Canada,2,template:generic_zoo,Elephant,1,animal,template,african-elephant,"Large, memorable; confirm African vs Asian",
toronto-zoo,Toronto Zoo,Toronto,Canada,2,template:generic_zoo,Giraffe,1,animal,template,reticulated-giraffe,"Tall, easy for kids to spot",
toronto-zoo,Toronto Zoo,Toronto,Canada,2,template:generic_zoo,Lion,1,animal,template,african-lion,Iconic big cat; often near savanna,
toronto-zoo,Toronto Zoo,Toronto,Canada,2,template:generic_zoo,Children's zoo / farm,2,zone,template,,Rest + little kids reset,
toronto-zoo,Toronto Zoo,Toronto,Canada,2,template:generic_zoo,Gorilla or large ape,2,animal,template,western-lowland-gorilla,Primate house highlight,
toronto-zoo,Toronto Zoo,Toronto,Canada,2,template:generic_zoo,Penguin,2,animal,template,african-penguin,"Active, kid magnet",
toronto-zoo,Toronto Zoo,Toronto,Canada,2,template:generic_zoo,Tiger,2,animal,template,sumatran-tiger,Stripes; popular photo stop,
toronto-zoo,Toronto Zoo,Toronto,Canada,2,template:generic_zoo,Otter,3,animal,template,asian-small-clawed-otter,Active water play,
toronto-zoo,Toronto Zoo,Toronto,Canada,2,template:generic_zoo,Playground / splash if open,3,experience,template,,Energy burn between animals,
toronto-zoo,Toronto Zoo,Toronto,Canada,2,template:generic_zoo,Red panda,3,animal,template,red-panda,Cute climber; not giant panda,
toronto-zoo,Toronto Zoo,Toronto,Canada,2,template:generic_zoo,Zebra,3,animal,template,zebra,Pattern hunt,
toronto-zoo,Toronto Zoo,Toronto,Canada,2,template:generic_zoo,Tortoise,4,animal,template,galapagos-tortoise,"Slow, close views",
vancouver-aquarium,Vancouver Aquarium,Vancouver,Canada,2,template:generic_aquarium,Ray / touch pool if open,1,animal,template,stingray,Interactive,
vancouver-aquarium,Vancouver Aquarium,Vancouver,Canada,2,template:generic_aquarium,Shark,1,animal,template,shark,Hero tank,
vancouver-aquarium,Vancouver Aquarium,Vancouver,Canada,2,template:generic_aquarium,Tunnel / underwater walk,1,experience,template,,Signature aquarium moment,
vancouver-aquarium,Vancouver Aquarium,Vancouver,Canada,2,template:generic_aquarium,Jellyfish,2,animal,template,jellyfish,Mesmerizing for toddlers,
vancouver-aquarium,Vancouver Aquarium,Vancouver,Canada,2,template:generic_aquarium,Octopus,2,animal,template,octopus,Hide-and-seek fun,
vancouver-aquarium,Vancouver Aquarium,Vancouver,Canada,2,template:generic_aquarium,Penguin (if present),2,animal,template,african-penguin,Many aquariums have them,
vancouver-aquarium,Vancouver Aquarium,Vancouver,Canada,2,template:generic_aquarium,Sea turtle,2,animal,template,sea-turtle,Easy ID,
vancouver-aquarium,Vancouver Aquarium,Vancouver,Canada,2,template:generic_aquarium,Clownfish / reef,3,animal,template,clownfish,Color pop,
vancouver-aquarium,Vancouver Aquarium,Vancouver,Canada,2,template:generic_aquarium,Seahorse,3,animal,template,seahorse,Small find challenge,
paris-zoo,Parc Zoologique de Paris,Paris,France,2,template:generic_zoo,Elephant,1,animal,template,african-elephant,"Large, memorable; confirm African vs Asian",
paris-zoo,Parc Zoologique de Paris,Paris,France,2,template:generic_zoo,Giraffe,1,animal,template,reticulated-giraffe,"Tall, easy for kids to spot",
paris-zoo,Parc Zoologique de Paris,Paris,France,2,template:generic_zoo,Lion,1,animal,template,african-lion,Iconic big cat; often near savanna,
paris-zoo,Parc Zoologique de Paris,Paris,France,2,template:generic_zoo,Children's zoo / farm,2,zone,template,,Rest + little kids reset,
paris-zoo,Parc Zoologique de Paris,Paris,France,2,template:generic_zoo,Gorilla or large ape,2,animal,template,western-lowland-gorilla,Primate house highlight,
paris-zoo,Parc Zoologique de Paris,Paris,France,2,template:generic_zoo,Penguin,2,animal,template,african-penguin,"Active, kid magnet",
paris-zoo,Parc Zoologique de Paris,Paris,France,2,template:generic_zoo,Tiger,2,animal,template,sumatran-tiger,Stripes; popular photo stop,
paris-zoo,Parc Zoologique de Paris,Paris,France,2,template:generic_zoo,Otter,3,animal,template,asian-small-clawed-otter,Active water play,
paris-zoo,Parc Zoologique de Paris,Paris,France,2,template:generic_zoo,Playground / splash if open,3,experience,template,,Energy burn between animals,
paris-zoo,Parc Zoologique de Paris,Paris,France,2,template:generic_zoo,Red panda,3,animal,template,red-panda,Cute climber; not giant panda,
paris-zoo,Parc Zoologique de Paris,Paris,France,2,template:generic_zoo,Zebra,3,animal,template,zebra,Pattern hunt,
paris-zoo,Parc Zoologique de Paris,Paris,France,2,template:generic_zoo,Tortoise,4,animal,template,galapagos-tortoise,"Slow, close views",
berlin-zoo,Berlin Zoo,Berlin,Germany,2,template:generic_zoo,Elephant,1,animal,template,african-elephant,"Large, memorable; confirm African vs Asian",
berlin-zoo,Berlin Zoo,Berlin,Germany,2,template:generic_zoo,Giraffe,1,animal,template,reticulated-giraffe,"Tall, easy for kids to spot",
berlin-zoo,Berlin Zoo,Berlin,Germany,2,template:generic_zoo,Lion,1,animal,template,african-lion,Iconic big cat; often near savanna,
berlin-zoo,Berlin Zoo,Berlin,Germany,2,template:generic_zoo,Children's zoo / farm,2,zone,template,,Rest + little kids reset,
berlin-zoo,Berlin Zoo,Berlin,Germany,2,template:generic_zoo,Gorilla or large ape,2,animal,template,western-lowland-gorilla,Primate house highlight,
berlin-zoo,Berlin Zoo,Berlin,Germany,2,template:generic_zoo,Penguin,2,animal,template,african-penguin,"Active, kid magnet",
berlin-zoo,Berlin Zoo,Berlin,Germany,2,template:generic_zoo,Tiger,2,animal,template,sumatran-tiger,Stripes; popular photo stop,
berlin-zoo,Berlin Zoo,Berlin,Germany,2,template:generic_zoo,Otter,3,animal,template,asian-small-clawed-otter,Active water play,
berlin-zoo,Berlin Zoo,Berlin,Germany,2,template:generic_zoo,Playground / splash if open,3,experience,template,,Energy burn between animals,
berlin-zoo,Berlin Zoo,Berlin,Germany,2,template:generic_zoo,Red panda,3,animal,template,red-panda,Cute climber; not giant panda,
berlin-zoo,Berlin Zoo,Berlin,Germany,2,template:generic_zoo,Zebra,3,animal,template,zebra,Pattern hunt,
